step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,10,0,0.0293782,0,0.499206,0.0524984,0,2,0,0,0.091268,0,0.022017,0,0,0,0,0.296729,0.140217,0.205257,0,0,0,3.20664e-05,0,1,0.971118,0.179215,6.02189e-06,0.958349,0.00952457,0.463113,0.0678383
400,40,1.66667,7,5,2,0,7,0,0,0,9,10,0,0.0431099,0,0.792149,0.184776,0,4,0,0,0.0915087,0,0.17561,0,0,0,0,0.448202,0.618947,0.202451,0,0,0,3.19758e-05,0,1,0.794693,0.160449,5.39872e-05,0.99842,0.07886,0.708335,0.170655
600,60,2.5,11,5,5,1,10,1,0,0,10,9,4.16667,0.0492479,0.000100225,0.81359,0.349398,0,4,4,0,0.197835,0,0.361763,0,0,0,0,0.521543,0.834263,0.217879,0,0,0,3.1963e-05,0,0.999499,0.654443,0.152596,0.00020204,0.998441,0.163129,0.760692,0.149038
800,80,3.33333,11,5,3,3,8,3,0,0,10,10,12.5,0.0512194,0.000436486,0.748908,0.508633,0,6,6,0,0.231803,0,0.465939,0,0,0,0,0.546318,0.977148,0.360489,0,0,0,3.19503e-05,0,0.997243,0.649472,0.155811,0.000431667,0.998483,0.210564,0.743173,0.138315
1000,100,4.16667,16,5,7,4,12,4,0,0,6,10,12.5,0.0501726,0.00128054,0.645952,0.645273,0,10,10,0,0.268905,0,0.48959,0,0,0,0,0.549192,0.977665,0.460899,0,0,0,3.19375e-05,0,0.991118,0.643539,0.156861,0.000647243,0.998483,0.221667,0.791023,0.100999
1200,120,5,18,5,8,5,13,5,0,0,4,9,16.6667,0.0475384,0.00212248,0.552013,0.764278,0,10,10,0,0.298699,0,0.48959,0,0,0,0,0.532833,0.871478,0.472213,0,0,0,3.19248e-05,0,0.98432,0.6369,0.15655,0.000823969,0.998504,0.222104,0.825487,0.0593674
1400,140,5.83333,24,5,11,8,16,8,0,0,4,9,25,0.0442703,0.00332651,0.515329,0.870642,0,10,10,0,0.279003,0,0.48959,0,0,0,0,0.493794,0.788261,0.471003,0,0,0,3.1912e-05,0,0.975419,0.629898,0.155338,0.000964954,0.998545,0.222537,0.851836,0.0399471
1600,160,6.66667,33,5,17,11,22,11,0,0,4,8,29.1667,0.0408915,0.00603495,0.5015,0.972896,0,10,10,4,0.262407,0.0443111,0.48959,0,0,0,0,0.441976,0.67829,0.442875,0,0,0,0.000251368,0,0.961772,0.622775,0.152489,0.00107767,0.998566,0.222967,0.873247,0.0199543
1800,180,7.5,41,5,20,16,25,16,0,0,2,10,33.3333,0.0376753,0.00921509,0.476504,1.071,0,10,10,6,0.23604,0.104301,0.48959,0,0,0,0,0.389424,0.573588,0.397164,0,0,0,0.000776338,0,0.9458,0.615701,0.149257,0.00116961,0.998587,0.223393,0.891349,0.00923066
2000,200,8.33333,49,5,23,21,28,21,0,0,1,9,33.3333,0.0347505,0.0121162,0.453591,1.16422,0,10,10,10,0.217586,0.185595,0.48959,0,0,0,0,0.341901,0.49006,0.359743,0,0,0,0.00159756,0,0.929471,0.60879,0.146501,0.00124694,0.998587,0.223816,0.906982,0.00452916
2200,220,9.16667,58,5,19,34,32,26,0,0,0,7,33.3333,0.0321645,0.0146551,0.452461,1.25474,0,10,10,10,0.206388,0.32029,0.48959,0,0,0,0,0.293598,0.431509,0.329511,0,0,0,0.00321268,0,0.913143,0.602106,0.144304,0.00131426,0.998587,0.224235,0.920599,0.00363555
2400,240,10,68,5,18,45,37,31,0,0,0,9,45.8333,0.0299194,0.0215472,0.442027,1.34506,0,10,10,10,0.188687,0.455287,0.48959,0,0,0,0,0.249548,0.392491,0.302603,0,0,0,0.0566097,0,0.894224,0.595674,0.141546,0.0013748,0.99865,0.224651,0.932474,0.00639986
2600,260,10.8333,78,5,22,51,38,40,0,0,0,9,50,0.0279944,0.0368423,0.409489,1.43039,0,10,10,10,0.170099,0.590284,0.489586,0,0,0,0,0.212005,0.359333,0.275951,0,0,0,0.325505,0,0.869931,0.589507,0.13735,0.00143078,0.998671,0.225061,0.9428,0.00507005
