step,time_h,time_days,n_agents,n_stem,n_ta,n_g0,n_basal,n_spinous,n_granular,n_cornified,n_neutrophils,n_macrophages,wound_closure_pct,mean_o2_wound,mean_ca_wound,mean_infl_wound,scar_magnitude,mean_anti_infl_wound,n_fibroblasts,n_activated_fibroblasts,n_myofibroblasts,mean_tgfb_wound,mean_collagen_wound,mean_perfusion_wound,n_tumor_cells,n_tumor_cycling,tumor_field_cells,mean_biofilm_wound,mean_vegf_wound,mean_mmp_wound,mean_fibronectin_wound,mean_elastin_wound,mean_hyaluronan_wound,mean_dermis_papillary,mean_dermis_reticular,mean_dermis_hypodermis,mean_ph_wound,mean_fibrin_wound,mean_ecm_quality,mean_tissue_viability,mean_temperature_wound,mean_glucose_wound,mean_lactate_wound,mean_no_wound
0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.224775,0,0,0,0,0,1,0.99997,0.189907,0,0.95275,0,0,0
200,20,0.833333,6,5,1,0,6,0,0,0,6,9,0,0.0293782,0,0.499427,0.0524425,0,2,0,0,0.0912707,0,0.022017,0,0,0,0,0.118692,0.130286,0.208171,0,0,0,3.20356e-05,0,1,0.972114,0.18048,6.02189e-06,0.958349,0.00952457,0.463113,0.0634361
400,40,1.66667,8,5,3,0,8,0,0,0,9,10,0,0.0428531,0,0.820499,0.188595,0,4,0,0,0.091332,0,0.100333,0,0,0,0,0.179326,0.612437,0.202458,0,0,0,3.1976e-05,0,1,0.77434,0.158417,4.17696e-05,0.970801,0.0448884,0.728854,0.175421
600,60,2.5,11,5,5,1,10,1,0,0,8,9,4.16667,0.0480898,0.000109404,0.887373,0.365387,0,4,4,0,0.200405,0,0.199163,0,0,0,0,0.210366,0.83705,0.218197,0,0,0,3.1963e-05,0,0.999684,0.654562,0.152735,0.000130241,0.998441,0.089655,0.836836,0.145249
800,80,3.33333,12,5,4,3,9,3,0,0,8,10,8.33333,0.0489881,0.000425462,0.791517,0.53662,0,6,6,0,0.287504,0,0.279522,0,0,0,0,0.227829,0.922475,0.337983,0,0,0,3.19503e-05,0,0.998402,0.649811,0.156182,0.000259365,0.998462,0.126171,0.859233,0.129009
1000,100,4.16667,16,5,6,5,12,4,0,0,4,9,12.5,0.0475842,0.00108535,0.593815,0.673754,0,10,10,0,0.358949,0,0.335558,0,0,0,0,0.23481,0.828384,0.454192,0,0,0,3.19375e-05,0,0.994947,0.6444,0.157758,0.000404556,0.998483,0.151769,0.842768,0.0668779
1200,120,5,19,5,8,6,13,6,0,0,3,8,20.8333,0.0450161,0.00252371,0.550604,0.787573,0,10,10,0,0.335081,0,0.372131,0,0,0,0,0.221081,0.696016,0.474105,0,0,0,3.19248e-05,0,0.987978,0.638581,0.157783,0.000546259,0.998524,0.168621,0.838212,0.027347
1400,140,5.83333,24,5,10,9,15,9,0,0,0,10,20.8333,0.0419627,0.00412008,0.539037,0.895687,0,10,10,0,0.298911,0,0.395822,0,0,0,0,0.200805,0.593782,0.474748,0,0,0,3.1912e-05,0,0.97941,0.632547,0.157103,0.000674738,0.998524,0.179679,0.859067,0.0160678
1600,160,6.66667,30,5,13,12,18,12,0,0,0,9,25,0.0388227,0.00599509,0.534069,1.00426,0,10,10,4,0.262628,0.0319449,0.411076,0,0,0,0,0.178045,0.537673,0.456907,0,0,0,0.000164808,0,0.969308,0.626445,0.155796,0.000787073,0.998545,0.186942,0.880624,0.0201448
1800,180,7.5,38,5,17,16,22,16,0,0,0,9,29.1667,0.0358168,0.00794713,0.508158,1.10883,0,10,10,6,0.236008,0.0919386,0.420774,0,0,0,0,0.156853,0.463704,0.414325,0,0,0,0.0007916,0,0.958196,0.620378,0.154286,0.000883752,0.998566,0.191703,0.898548,0.00942997
