treatment,metric,max_deviation,max_deviation_day,resistance,peak_response,t_max_days,return_time_days,elasticity,settling_time_days,overshoot,overshoot_pct,auc_burden,steady_state_error,rise_time_days,final_value,initial_value
anti_inflammatory,wound_closure_pct,100.0,0.0,0.01,100.0,27.5,27.5,3.6363636363636362,27.5,100.0,100.0,1756.9443583333334,0.0,20.833333333333332,100.0,0.0
anti_inflammatory,mean_infl_wound,0.440068,1.6666666666666667,2.2723760873319576,0.440068,1.6666666666666667,32.5,0.013540553846153847,34.166666666666664,0.43908220200000003,99.77598961978603,3.930823215833334,0.000985798,,0.000985798,0.0
anti_inflammatory,mean_collagen_wound,1.13323,0.0,0.8824333983392604,1.13323,21.666666666666668,18.333333333333332,0.06181254545454545,19.166666666666668,0.0,0.0,24.42021425,,9.999999999999998,1.13323,0.0
anti_inflammatory,mean_perfusion_wound,1.0,0.0,1.0,0.424427,10.833333333333334,5.0,0.2,25.0,0.365249,36.5249,21.696642000000004,0.6347510000000001,3.333333333333333,0.365249,0.0
anti_inflammatory,scar_magnitude,0.956207,34.166666666666664,1.045798660750235,0.956207,34.166666666666664,,,21.666666666666668,0.0,0.0,25.170669833333335,0.956207,,0.956207,0.0
anti_inflammatory,n_neutrophils,10.0,3.3333333333333335,0.1,10.0,3.3333333333333335,5.0,2.0,8.333333333333334,10.0,100.0,46.666666666666664,0.0,,0.0,0.0
anti_inflammatory,mean_mmp_wound,0.510606,1.6666666666666667,1.9584572057515972,0.510606,1.6666666666666667,32.5,0.015710953846153845,34.166666666666664,0.497435,97.42051601430457,6.626709416666668,0.013171,,0.013171,0.0
anti_inflammatory,mean_fibronectin_wound,0.368813,34.166666666666664,2.7114011707830254,0.490192,5.833333333333333,,,32.5,0.368813,75.23847798413684,8.686309166666668,,,0.121379,0.224775
anti_inflammatory_doxycycline,wound_closure_pct,100.0,0.0,0.01,100.0,23.333333333333332,23.333333333333332,4.285714285714286,23.333333333333332,100.0,100.0,1569.4443833333335,0.0,17.5,100.0,0.0
anti_inflammatory_doxycycline,mean_infl_wound,0.443898,1.6666666666666667,2.2527697804450573,0.443898,1.6666666666666667,32.5,0.013658400000000001,34.166666666666664,0.443427877,99.89409211125079,3.6479050795833334,0.000470123,,0.000470123,0.0
