treatment,mean_infl_wound,n_agents,peak_collagen,peak_inflammation,peak_inflammation_day,peak_inflammation_step,peak_macrophages,peak_myofibroblasts,peak_neutrophils,scar_magnitude,time_to_50pct_days,time_to_90pct_days,wound_closure_pct
baseline,0.00729236,0,1.22502,0.771624,2.5,600,10,10,9,2.29939,21.7,29.2,100.0
anti_inflammatory,0.000985798,0,1.13323,0.440068,1.7,400,10,10,10,0.956207,18.3,27.5,100.0
combination,0.0040542,0,1.68705,0.500569,1.7,400,10,10,9,1.01011,11.7,24.2,100.0
doxycycline,0.00155573,0,1.15706,0.619213,1.7,400,10,10,10,1.91894,16.7,23.3,100.0
growth_factor,0.0050658,0,1.7432,0.755784,2.5,600,10,17,10,2.30071,20.8,27.5,100.0
hbo,0.0865474,0,2.49217,0.757663,2.5,600,10,10,9,2.35114,20.0,34.2,100.0
moisture,0.0301424,0,1.07345,0.909938,2.5,600,10,10,10,2.85951,13.3,21.7,100.0
msc,0.00172056,0,2.14148,0.682981,1.7,400,10,10,10,1.85662,15.0,23.3,100.0
npwt,0.00818689,0,1.73269,0.887373,2.5,600,10,10,9,2.20632,11.7,19.2,100.0
anti_inflammatory+doxycycline,0.000470123,0,1.16657,0.443898,1.7,400,10,10,10,0.882855,15.8,23.3,100.0
anti_inflammatory+growth_factor,0.000494641,0,1.52856,0.443918,1.7,400,10,16,11,0.936222,18.3,24.2,100.0
anti_inflammatory+hbo,0.000478902,0,1.68904,0.445988,1.7,400,10,10,10,0.902861,15.0,24.2,100.0
anti_inflammatory+moisture,0.00649629,0,0.592432,0.51508,1.7,400,10,10,12,1.16496,14.2,21.7,100.0
anti_inflammatory+msc,0.000152388,0,2.15331,0.439287,1.7,400,10,10,10,0.841421,11.7,19.2,100.0
anti_inflammatory+npwt,0.0044755,0,1.68569,0.495852,1.7,400,10,10,11,1.08791,15.0,25.0,100.0
doxycycline+growth_factor,0.0225937,0,1.41143,0.619317,1.7,400,10,16,11,2.28135,22.5,31.7,100.0
